,  Job No.,Date Received Cust. PO,Customer,EOG & STSB PO,Customer PO,Items,Selling Price Currency,Selling Price,Customer Terms,Inspection Report    No.,Sales Order Ack.,Customer Expected Date,Goods Ready Date,Inv. Date,Exact Inv.,Exact DO.,EOG & STSB DO.,Service Report,Sales Person,Exact PO Date,PO Faxed Out Date,Exact PO No.,Principal / Suppliers,Code,Currency, Buying Price ,Principal / Supplier Terms,Principal / Supplier Order Ack.,Schedule Ship Date,Principal / Supplier Actual Ship Date,Principal / Supplier Invoice No.,Payment to Principal / Supplier Date,AWB No.,Goods Received Date,Duty & Tax RM,Freight Cost RM,Remarks,Total Job,Delivery Schedule Not Met,Purchasing Objective 1,Principal / Supplier Delivery Objectives,Purchasing Objectives Overdue Days,Project ,Date of Approval Drawing,Purchasing Objective 2,Malaysia Holidays,Description
L,0026/16,8-Jan-16,Mechmar After Sales & Services Sdn Bhd ,-,PO-00287/15MAS,"Calibration charges for O2 & CO, Filter, Water Trap/Filter Assembly ",RM," 1,030.00 ",30 Days ,IR0026/16,SO0026/16,26-Jan-16,26-Jan-16,26-Jan-16,10589,10589,-,-,omar,,,,,,,,,,,,,,,,,,,1,0,0,0,-30269,0,0,0 ,,
L,0027/16,8-Jan-16,ECO Space Enterprise ,-,Verbal ,Calibration charges for GasAlertMax XT II ,RM, 260.00 ,COD,IR0027/16,SO0027/16,8-Jan-16,8-Jan-16,8-Jan-16,10517,,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30269,0,0,0 ,,
T,0028/16,8-Jan-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Derivatives Sdn Bhd) ,5246/2016,4120133240,Replacement Pump,RM ," 2,665.71 ",30 Days ,IR0028/16,SO0028/16,23-Feb-16,15-Feb-16,15-Feb-16,10662,-,2016/672,-,rahimah,11-Jan-2016,11-Jan-2016,3540-R1,BW,BW,USD, 360.00 ,30 Days,OC1078945,18-Feb-16,16-Feb-16,,,FEDEX#7756 5300 7539,19-Feb-16,92.59,17.55,,1,0,0,0,2,0,0,0 ,,
L,0029/16,8-Jan-16,Linde Malaysia Sdn Bhd ,-,9300066433,"Calibration charges for GasAlertMax XT II, Oxygen Sensor ",RM ," 1,130.00 ",60 Days ,IR0029/16,SO0029/16,14-Jan-16,14-Jan-16,14-Jan-16,10534,10534,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30269,0,0,0 ,,
T,0030/16,8-Jan-16,Polyscientific Enterprise Sdn Bhd ,-,PO-1025848,BW GasAlertExtreme Ammonia ,RM ," 2,337.50 ",30 Days ,IR0030/16,SO0030/16,23-Feb-16,23-Feb-16,23-Feb-16,10705,10705,-,-,kaili,11-Jan-2016,11-Jan-2016,3540-R1,BW,BW,USD, 331.50 ,30 Days,OC1078945,18-Feb-16,16-Feb-16,,,FEDEX#7756 5300 7539 ,19-Feb-16,96.75,16.16,,1,0,0,0,2,0,0,0 ,,
T,0031/16,8-Jan-16,Ancor Sdn Bhd ,-,PO-080116-Exact ,BW GasAlertMicroClip XL ,RM ," 2,380.00 ",COD,IR0031/16,SO0031/16,11-Jan-16,11-Jan-16,11-Jan-16,10520,10520,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30269,0,0,0 ,,
T,0032/16,11-Jan-16,Linde Malaysia Sdn Bhd ,-,9300065970,BW GasAlertMicro 5 ,RM ," 12,910.00 ",60 Days ,IR0032/16,SO0032/16,23-Feb-16,25-Feb-16,25-Feb-16,10725,10725,-,-,rahimah,11-Jan-2016,11-Jan-2016,3540-R1,BW,BW,USD," 1,729.00 ",30 Days,OC1078945,18-Feb-16,16-Feb-16,,,FEDEX#7756 5300 7539 ,19-Feb-16,444.7,84.27,,1,1,0,0,1,0,0,0 ,,
T,0033/16,11-Jan-16,JSM Enterprise ,-,160111,BW GasAlertMicroClip XL ,RM ," 2,300.00 ",COD,IR0033/16,SO0033/16,12-Jan-16,12-Jan-16,12-Jan-16,10521,10521,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30270,0,0,0 ,,
T,0034/16,11-Jan-16,Linde Malaysia Sdn Bhd ,-,9300066213,MDM300-IS ,RM," 25,460.00 ",60 Days ,IR0034/16,SO0034/16,22-Feb-16,22-Mar-16,22-Mar-16,10872,10872,-,-,syairah,11-Jan-2016,11-Jan-2016,3538,Michell Instruments Ltd ,MICH ,GBP ," 2,227.80 ",30 Days,A48765,11-Feb-16,12-Feb-16,,,FEDEX#7756 3497 6398,15-Feb-16,854.01,315.87,,1,1,0,1,1,0,0,0 ,,
T,0034/16,11-Jan-16,Linde Malaysia Sdn Bhd ,-,,,,,,,,,,,,,,,syairah,4-Apr-2016,4-Apr-2016,3538-A,Michell Instruments Ltd ,MICH ,GBP, 90.60 ,30 Days,A54862,14-Apr-16,13-Apr-16,,,FEDEX#7760 9255 8118,18-Apr-16,58.07,242.29,,0,0,0,0,58,0,0,0 ,,
T,0035/16,11-Jan-16,Pacific Rim Technical Instrumentation & Systems ,-,SP16-2348 ,Michell - Calibration Service Exchange - Cermet II ,GBP, 475.00 ,30 Days ,IR0035/16,SO0035/16,22-Feb-16,2-Feb-16,2-Feb-16,10626,,-,-,syairah,11-Jan-2016,11-Jan-2016,3539,Michell Instruments Ltd ,MICH ,GBP , 193.80 ,30 Days,A48766,22-Jan-16,22-Jan-16,,,FEDEX#7754 7558 5308,29-Jan-16,-,236.31,,1,0,0,0,1,0,0,0 ,,
T,0036/16,11-Jan-16,Vibracon Sdn Bhd ,-,PO46219 ,GasAlertClip Extreme ,RM ," 1,445.00 ",30 Days ,IR0036/16,SO0036/16,23-Feb-16,24-Feb-16,24-Feb-16,10712,10712,-,-,rahimah,11-Jan-2016,11-Jan-2016,3540-R1,BW,BW,USD, 178.75 ,30 Days,OC1078945,18-Feb-16,16-Feb-16,,,FEDEX#7756 5300 7539,19-Feb-16,96.75,8.71,,1,1,0,0,1,0,0,0 ,,
T,0037/16,11-Jan-16,Bureau Veritas (M) Sdn Bhd ,-,HSE/PO/11/16/01136,BW GasAlertMicroClip XL ,RM ," 2,450.00 ",30 Days ,IR0037/16,SO0037/16,12-Jan-16,12-Jan-16,12-Jan-16,10528,10528,-,-,rahimah ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30270,0,0,0 ,,
T,0038/16,11-Jan-16,Bureau Veritas (M) Sdn Bhd ,-,HSE/PO/11/16/01134,BW GasAlertMicroClip XL ,RM," 2,450.00 ",30 Days ,IR0038/16,SO0038/16,12-Jan-16,12-Jan-16,12-Jan-16,10529,10529,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30270,0,0,0 ,,
T,0039/16,11-Jan-16,Bureau Veritas (M) Sdn Bhd ,-,HSE/PO/11/16/01135,BW GasAlertMicroClip XL ,RM," 2,450.00 ",30 Days ,IR0039/16,SO0039/16,12-Jan-16,12-Jan-16,12-Jan-16,10527,10527,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30270,0,0,0 ,,
T,0040/16,11-Jan-16,Winpower Corporation (M) Sdn Bhd ,-,1586/13/47 ,"O2 Replacement Sensor, Replacement Nox Filter Scrubber ",RM ," 1,760.00 ",COD,IR0040/16,SO0040/16,12-Jan-16,12-Jan-16,12-Jan-16,10523,,-,-,omar,,,,,,,,,,,,,,,,,,,1,0,0,0,-30270,0,0,0 ,,
T,0040/16,11-Jan-16,Winpower Corporation (M) Sdn Bhd ,,,,,,,,,8-Apr-16,8-Apr-16,8-Apr-16,10947,10947,-,-,omar,,,,,,,,,,,,,,,,,,,0,0,0,0,-30270,0,0,0 ,,
L,0041/16,11-Jan-16,F&N Diaries Manufacturing Sdn Bhd ,-,4210001601,Servomex - Oxygen Analyzer Calibration ,RM," 1,800.00 ",COD,IR0041/16,SO0041/16,19-Jan-16,19-Jan-16,19-Jan-16,10550,10550,-,-,omar,,,,,,,,,,,,,,,,,,,1,0,0,0,-30270,0,0,0 ,,
T,0042/16,11-Jan-16,Oceanic Chemicals and Instruments Sdn Bhd ,-,Verbal ,BW GasAlertMicroClip XL ,RM ," 2,295.00 ",COD,IR0042/16,SO0042/16 ,13-Jan-16,13-Jan-16,13-Jan-16,10530,10530,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30270,0,0,0 ,,
L,0043/16,12-Jan-16,Sri Takada Industries (Malaysia) Sdn Bhd ,-,309521,Calibration charges for GasAlertMax XT II ,RM , 300.00 ,COD,IR0043/16,SO0043/16,12-Jan-16,12-Jan-16,12-Jan-16,10524,10524,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30271,0,0,0 ,,
L,0044/16,12-Jan-16,American Bureau of Shipping ,-,ABS001,Calibration charges for GasAlertMicroClip XT ,RM , 810.00 ,30 Days ,IR0044/16,SO0044/16,14-Jan-16,14-Jan-16,14-Jan-16,10537,10537,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30271,0,0,0 ,,
L,0045/16,12-Jan-16,Shin Yang Shipyard Sdn Bhd ,-,SYSY(2)/GS-CJ/JO-038A,Calibration charges for GasAlertMax XT II ,RM ," 1,100.00 ",COD,IR0045/16,SO0045/16 ,,,,,,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30271,0,0,0 ,,
L,0046/16,12-Jan-16,Specific Resources Sdn Bhd ,-,POP00016613 ,"Calibration charges for GasAlertExtreme (O2), HCN",RM," 3,500.00 ",30 Days ,IR0046/16,SO0046/16,25-Feb-16,25-Feb-16,25-Feb-16,10715,10715,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30271,0,0,0 ,,
S,0047/16,13-Jan-16,Sedia Teguh Sdn Bhd (Petroleum Company Limited) ,5274/2016/SO,4512574191,"Engineer, Mob/Demob,Labuan, Engineer,Onshore,Standby ",RM ," 2,957.40 ",30 Days ,IR0047/16,SO0047/16 ,21-Mar-16,21-Mar-16,21-Mar-16,10866,10866,-,-,rahimah ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30272,0,0,0 ,,
L,0048/16,13-Jan-16,Guinness Anchor Berhad ,-,4500054611,Calibration Service Exchange - Dew Point ,RM ," 3,300.00 ",30 Days ,IR0048/16,SO0048/16 ,24-Feb-16,15-Feb-16,15-Feb-16,10656,10656,-,-,syairah,15-Jan-2016,15-Jan-2016,3542,Michell Instruments Ltd ,MICH ,GBP , 193.80 ,30 Days,A48889,4-Feb-16,5-Feb-16,,,FEDEX#7755 8262 3947,10-Feb-16,100.1,131.85,,1,0,0,1,3,0,0,0 ,,
L,0049/16,13-Jan-16,American Bureau of Shipping ,-,ABS020,Calibration charges for GasAlertMicroClip XT & GasAlertMax XT II ,RM, 600.00 ,30 Days ,IR0049/16,SO0049/16,14-Jan-16,14-Jan-16,14-Jan-16,10535,10535,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30272,0,0,0 ,,
L,0050/16,14-Jan-16,Jasa Merin (Malaysia) Sdn Bhd ,-,16-0002-1,"Calibration charges for GasAlertMax XT II, Replacement Pump Kit, Replacement Pump Enclosure ",RM," 1,330.00 ",30 Days ,IR0050/16,SO0050/16,19-Jan-16,19-Jan-16,19-Jan-16,10551,10551,-,-,hafiz,,,,,,,,,,,,,,,,,,,1,0,0,0,-30273,0,0,0 ,,
T,0051/16,14-Jan-16,Shell MDS (Malaysia) Sendirian Berhad,-,4500065294,Quad Gas Cylinder ,RM," 5,100.00 ",30 Days ,IR0051/16,SO0051/16,19-Jan-16,19-Jan-16,19-Jan-16,10554,10554,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30273,0,0,0 ,,
L,0052/16,14-Jan-16,Supreme Evershine Sdn Bhd ,-,3132,Calibration charges for GasAlertMicroClip XL ,RM, 300.00 ,COD,IR0052/16,SO0052/16,14-Jan-16,14-Jan-16,14-Jan-16,10536,10536,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30273,0,0,0 ,,
L,0053/16,14-Jan-16,Era Enigma Enterprise ,-,Verbal ,"Quad Gas Cylinder, Calibration Gas Regulator (0.5 LPM) ",RM ," 1,750.00 ",COD,IR0053/16,SO0053/16,15-Jan-16,15-Jan-16,15-Jan-16,10540,10540,-,-,rahimah ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30273,0,0,0 ,,
L,0054/16,14-Jan-16,Safehouse Sdn Bhd ,-,SHHMY-PO-002-160112-EXACT ,Calibration charges for GasAlertMicroClip XT ,RM ," 2,970.00 ",COD,IR0054/16,SO0054/16 ,15-Jan-16,15-Jan-16,15-Jan-16,10541,,-,-,boonking ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30273,0,0,0 ,,
T,0055/16,15-Jan-16,Imerys Minerals Malaysia Sdn Bhd ,-,PO050125,JCT Heated Line JH200 with complete set (2m hose),RM ," 4,900.00 ",30 Days,IR0055/16,SO0055/16,26-Feb-16,26-Feb-16,26-Feb-16,10734,10734,-,-,kevin,18-Jan-2016,18-Jan-2016,3544,JCT Analysentechnik GmbH ,JCT ,EUR, 480.00 ,30 Days,6007966,15-Feb-16,23-Feb-16,,,FEDEX#8078 0042 9914,25-Feb-16,142.37,612.16,,1,0,0,1,2,0,0,0 ,,
T,0056/16,15-Jan-16,L.Chin Engineering Sdn Bhd ,-,LCESB-310-2016,Replacement Oxygen Sensor,RM," 2,653.00 ",COD,IR0056/16,SO0056/16,21-Jan-16,21-Jan-16,21-Jan-16,10574,10574,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30274,0,0,0 ,,
L,0057/16,15-Jan-16,American Bureau of Shipping ,-,ABS002,"Calibration charges for GasAlertMicroClip XT, Replacement O2 Sensor, Replacement Flex PCB ",RM ," 3,280.00 ",30 Days ,IR0057/16,SO0057/16,21-Jan-16,21-Jan-16,21-Jan-16,10571,10571,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30274,0,0,0 ,,
L,0058/16,15-Jan-16,Polyscientific Enterprise Sdn Bhd ,-,PO-1025915,Calibration charges for GasAlertMax XT II ,RM , 255.00 ,30 Days ,IR0058/16,SO0058/16,20-Jan-16,20-Jan-16,20-Jan-16,10564,10564,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30274,0,0,0 ,,
L,0059/16,15-Jan-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Methanol Sdn Bhd) ,5289/2016,3020160973,Hse Equipment Maintenance & Calibration,RM," 4,355.00 ",30 Days ,IR0059/16,SO0059/16,15-Feb-16,15-Feb-16,15-Feb-16,10668,-,2016/643,-,boonking ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30274,0,0,0 ,,
L,0060/16,15-Jan-16,Expro Oilfield Services Sdn Bhd ,-,4500641513,"Service & Calibration for Sensor Regeneration, Membrane Replacement, O-Ring Replacement & Electrolite Refill for 2 units of DO Sensor ",RM," 2,500.00 ",30 Days ,IR0060/16,SO0060/16,2-Feb-16,2-Feb-16,2-Feb-16,10627,10627,-,-,omar,,,,,,,,,,,,,,,,,,,1,0,0,0,-30274,0,0,0 ,,
L,0061/16,18-Jan-16,The Valspar (Malaysia) Sdn Bhd ,-,WP032772 ,Calibration charges for PID Sensor ,RM , 300.00 ,30 Days,IR0061/16,SO0061/16 ,22-Jan-16,22-Jan-16,22-Jan-16,10579,10579,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30275,0,0,0 ,,
T,0062/16,18-Jan-16,PMI-Technology Sdn Bhd ,-,Verbal ,BW GasAlertMaxXT II ,RM," 3,800.00 ",COD,IR0062/16,SO0062/16 ,18-Jan-16,18-Jan-16,18-Jan-16,10542,10542,-,-,rahimah ,,,,,,,,,,,,,,,,,,PO cancel. Pls refer Job no: 0111/16,1,0,0,0,-30275,0,0,0 ,,
